,normal,count,word,tag,source
0,Бризар,27,"['Бризару', 'Бризара', 'Бризар']","NOUN,inan,masc,Geox sing,nomn",beg.txt
1,Константинополь,20,"['Константинополя', 'Константинополю', 'Константинополь', 'Константинополе']","NOUN,inan,masc,Sgtm,Geox sing,accs",beg.txt
2,Севастополь,20,"['Севастополе', 'Севастополь', 'Севастополю', 'Севастополя']","NOUN,inan,masc,Sgtm,Geox sing,accs",beg.txt
3,Париж,18,"['Парижа', 'Париж', 'Парижу', 'Париже']","NOUN,inan,masc,Sgtm,Geox sing,accs",beg.txt
4,Крым,16,"['Крыму', 'Крыма', 'Крым']","NOUN,inan,masc,Sgtm,Geox sing,nomn",beg.txt
5,Петербург,12,"['Петербург', 'Петербурге', 'Петербургу', 'Петербурга']","NOUN,inan,masc,Geox sing,nomn",beg.txt
6,Таврия,5,"['Таврия', 'Таврии']","NOUN,inan,femn,Sgtm,Geox sing,nomn",beg.txt
7,Мадрид,4,['Мадрид'],"NOUN,inan,masc,Geox sing,nomn",beg.txt
8,Россия,4,"['России', 'Россией']","NOUN,inan,femn,Sgtm,Geox sing,nomn",beg.txt
9,Петроград,3,"['Петрограда', 'Петрограде']","NOUN,inan,masc,Geox sing,accs",beg.txt
10,Киев,3,"['Киев', 'Киевом']","NOUN,inan,masc,Geox sing,nomn",beg.txt
11,Сиваш,2,"['Сиваш', 'Сиваша']","NOUN,inan,masc,Sgtm,Geox sing,nomn",beg.txt
12,Керман,2,"['Кермана', 'Керман']","NOUN,inan,masc,Geox sing,nomn",beg.txt
13,Перу,2,['Перу'],"NOUN,inan,neut,Sgtm,Fixd,Geox sing,gent",beg.txt
14,Босфор,2,['Босфор'],"NOUN,inan,masc,Geox sing,nomn",beg.txt
15,Симферополь,2,"['Симферополе', 'Симферополя']","NOUN,inan,masc,Sgtm,Geox sing,nomn",beg.txt
16,Харьков,1,['Харьков'],"NOUN,inan,masc,Geox sing,nomn",beg.txt
17,Франция,1,['Францию'],"NOUN,inan,femn,Sgtm,Geox sing,nomn",beg.txt
18,Труффаторра,1,['Труффаторре'],"NOUN,inan,femn,Sgtm,Geox sing,nomn",beg.txt
19,Чонгаре,1,['Чонгаре'],"NOUN,inan,femn,Fixd,Geox sing,nomn",beg.txt
20,Эуэй,1,['Эуэй'],"NOUN,inan,masc,Sgtm,Geox sing,nomn",beg.txt
21,Стамбул,1,['Стамбул'],"NOUN,inan,masc,Geox sing,nomn",beg.txt
22,Юшунь,1,['Юшунь'],"NOUN,inan,femn,Sgtm,Geox sing,nomn",beg.txt
23,Симферопольский,1,['Симферопольский'],"ADJF,Geox masc,sing,nomn",beg.txt
24,Афины,1,['Афины'],"NOUN,inan,GNdr,Pltm,Geox plur,nomn",beg.txt
25,Сенкан,1,['Сенкан'],"NOUN,inan,masc,Geox sing,nomn",beg.txt
26,Ростов,1,['Ростов'],"NOUN,inan,masc,Geox sing,nomn",beg.txt
27,Репондэ,1,['Репондэ'],"NOUN,inan,masc,Sgtm,Fixd,Geox sing,nomn",beg.txt
28,Берлин,1,['Берлин'],"NOUN,inan,masc,Geox sing,nomn",beg.txt
29,Маршан,1,['Маршан'],"NOUN,inan,masc,Geox sing,nomn",beg.txt
30,Мариуполь,1,['Мариуполя'],"NOUN,inan,masc,Sgtm,Geox sing,nomn",beg.txt
31,Керчь,1,['Керчь'],"NOUN,inan,femn,Sgtm,Geox sing,nomn",beg.txt
32,Карасу,1,['Карасу'],"NOUN,inan,femn,Fixd,Geox sing,nomn",beg.txt
33,Калинин,1,['Калинину'],"NOUN,inan,masc,Geox sing,nomn",beg.txt
34,Днепр,1,['Днепре'],"NOUN,inan,masc,Geox sing,accs",beg.txt
35,Ялта,1,['Ялту'],"NOUN,inan,femn,Sgtm,Geox sing,nomn",beg.txt
36,Россия,108,"['Россию', 'России', 'Россия', 'Россией']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
37,Украина,100,"['Украиной', 'Украину', 'Украины', 'Украина', 'Украине']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
38,Киев,65,"['Киева', 'Киев', 'Киеве', 'Киеву']","NOUN,inan,masc,Geox sing,nomn",belaya-gvardiya.txt
39,Москва,42,"['Москву', 'Москва', 'Москве', 'Москвы']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
40,Одесса,36,"['Одессы', 'Одессой', 'Одессу', 'Одесса', 'Одессе']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
41,Анжу,20,['Анжу'],"NOUN,inan,masc,Sgtm,Fixd,Geox sing,gent",belaya-gvardiya.txt
42,Торопец,19,"['Торопец', 'Торопца']","NOUN,inan,masc,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
43,Печерск,19,"['Печерску', 'Печерска', 'Печерске', 'Печерск']","NOUN,inan,masc,Geox sing,nomn",belaya-gvardiya.txt
44,Днепр,18,"['Днепр', 'Днепра', 'Днепре', 'Днепром']","NOUN,inan,masc,Geox sing,accs",belaya-gvardiya.txt
45,Никола,16,"['Никол', 'Николы']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
46,Житомир,15,"['Житомир', 'Житомире', 'Житомира']","NOUN,inan,masc,Geox sing,nomn",belaya-gvardiya.txt
47,Франция,13,"['Франция', 'Франции', 'Францией']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
48,Германия,13,"['Германия', 'Германию', 'Германии', 'Германией']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
49,Крым,12,"['Крыму', 'Крыме', 'Крыма', 'Крымом', 'Крым']","NOUN,inan,masc,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
50,Брест,11,['Брест'],"NOUN,inan,masc,Geox sing,nomn",belaya-gvardiya.txt
51,Петроград,11,"['Петроградом', 'Петрограда', 'Петроград', 'Петрограде']","NOUN,inan,masc,Geox sing,accs",belaya-gvardiya.txt
52,Эйхгорн,10,"['Эйхгорн', 'Эйхгорне', 'Эйхгорна']","NOUN,inan,masc,Geox sing,nomn",belaya-gvardiya.txt
53,Берлин,10,"['Берлин', 'Берлине', 'Берлина']","NOUN,inan,masc,Geox sing,nomn",belaya-gvardiya.txt
54,Париж,10,"['Парижа', 'Париж', 'Париже']","NOUN,inan,masc,Sgtm,Geox sing,accs",belaya-gvardiya.txt
55,София,10,['Софии'],"NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
56,Польша,10,"['Польши', 'Польшу', 'Польша', 'Польше']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
57,Украинский,9,"['Украинская', 'Украинского', 'Украинскую', 'Украинской']","ADJF,Geox masc,sing,nomn",belaya-gvardiya.txt
58,Бронный,7,['Бронной'],"ADJF,Geox masc,sing,nomn",belaya-gvardiya.txt
59,Лежнева,7,"['Лежнева', 'Лежневу']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
60,Фельдмана,7,"['Фельдману', 'Фельдмана']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
61,Полтава,7,"['Полтавы', 'Полтавой', 'Полтаве', 'Полтава']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
62,Русь,6,"['Русь', 'Руси']","NOUN,inan,femn,Sgtm,Geox sing,accs",belaya-gvardiya.txt
63,Варшава,5,"['Варшавы', 'Варшава', 'Варшаву', 'Варшаве']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
64,Харьков,5,"['Харьков', 'Харькове', 'Харькову']","NOUN,inan,masc,Geox sing,nomn",belaya-gvardiya.txt
65,Кубань,4,"['Кубанью', 'Кубань']","NOUN,inan,femn,Sgtm,Geox sing,accs",belaya-gvardiya.txt
66,Петербург,4,"['Петербург', 'Петербурге', 'Петербурга']","NOUN,inan,masc,Geox sing,nomn",belaya-gvardiya.txt
67,Могилёв,4,"['Могилев', 'Могилеве']","NOUN,inan,masc,Geox sing,nomn",belaya-gvardiya.txt
68,Румыния,3,"['Румынии', 'Румынию']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
69,Жмеринка,3,['Жмеринке'],"NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
70,Фастов,3,"['Фастова', 'Фастов']","NOUN,inan,masc,Geox sing,nomn",belaya-gvardiya.txt
71,Дания,3,['Дании'],"NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
72,Гучкова,3,"['Гучкову', 'Гучкова']","NOUN,inan,femn,Sgtm,Geox sing,nomn",belaya-gvardiya.txt
